Lastnofitied,FirstNotifiedAt,SiteID,InstanceID,LTimeCluster,FTimeCluster,15minutelastcluster,15minutefirstcluster
1499855822,1499855822,3684492,24134,1499853600,1499853600,1499855400,1499855400
1500992767,1489833193,3606427,23473,1500991200,1489831200,1500992100,1489833000
1502538247,1487236451,3606357,23911,1502535600,1487235600,1502537400,1487235600
1505794196,1505794196,3658175,24092,1505793600,1505793600,1505793600,1505793600
1505940465,1500675765,3687379,23634,1505937600,1500674400,1505940300,1500675300
1506305961,1506057055,3658215,23878,1506304800,1506056400,1506305700,1506056400
1506417997,1481694105,3658210,24048,1506416400,1481691600,1506417300,1481693400
1506527235,1506527235,3689247,23876,1506524400,1506524400,1506527100,1506527100
1506636270,1488495866,3658208,23939,1506636000,1488495600,1506636000,1488495600
1507007260,1507007260,3685134,24149,1507006800,1507006800,1507006800,1507006800
1507008905,1507008905,3658188,23997,1507006800,1507006800,1507008600,1507008600
1507127632,1481595440,3710620,24123,1507125600,1481594400,1507127400,1481595300
1507508251,1496211043,3660676,23639,1507507200,1496210400,1507508100,1496210400
1507635097,1490128246,3607280,23502,1507633200,1490126400,1507635000,1490128200
1507785605,1507081711,3658212,24061,1507784400,1507078800,1507785300,1507081500
1508080456,1489183306,3658152,23495,1508079600,1489183200,1508079600,1489183200
1508080526,1494730362,3607465,23875,1508079600,1494727200,1508080500,1494729900
1508080526,1503345902,3689326,23806,1508079600,1503345600,1508080500,1503345600
1508080526,1505935775,3682582,23467,1508079600,1505934000,1508080500,1505934900
1508080561,1499560971,3682534,23476,1508079600,1499558400,1508080500,1499560200
1508080561,1500754486,3687920,23636,1508079600,1500753600,1508080500,1500753600
1508080561,1495513520,3684496,23822,1508079600,1495512000,1508080500,1495512900
1508080561,1488367450,3689248,23687,1508079600,1488366000,1508080500,1488366900
1508080561,1485591390,3689252,23480,1508079600,1485590400,1508080500,1485591300
1508080561,1488513366,3658163,23543,1508079600,1488510000,1508080500,1488512700
1508080561,1491855279,3687917,23742,1508079600,1491854400,1508080500,1491854400
1508080596,1496504200,3684493,23637,1508079600,1496502000,1508080500,1496503800
1508080596,1497589877,3607492,23843,1508079600,1497589200,1508080500,1497589200
1508080596,1488427825,3658123,23544,1508079600,1488427200,1508080500,1488427200
1508080596,1502725501,3658195,23539,1508079600,1502722800,1508080500,1502725500
1508080876,1487889417,3710620,23789,1508079600,1487887200,1508080500,1487889000
1508080876,1506417997,3658146,23798,1508079600,1506416400,1508080500,1506417300
1508080911,1507050351,3687379,23602,1508079600,1507050000,1508080500,1507050000
1508080911,1506379496,3658193,23737,1508079600,1506376800,1508080500,1506378600
1508080947,1496100851,3682715,23612,1508079600,1496098800,1508080500,1496100600
1508080947,1506636165,3607348,24099,1508079600,1506636000,1508080500,1506636000
1508080981,1499266016,3606489,23605,1508079600,1499263200,1508080500,1499265900
1508081156,1507422991,3658188,23478,1508079600,1507420800,1508080500,1507422600
